#DUKE weather file,,,,,,
$state_name=North Carolina,,,,,,
$city_name=Charlotte,,,,,,
$lat_deg=35,,,,,,
$lat_min=13,,,,,,
$long_deg=-80,,,,,,
$long_min=56,,,,,,
$timezone_offset=-4,,,,,,
temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global,
#month:day:hour:minute:second,,,,,,
01:01:12:09:00,57.2,10.4,67,69.13,10.21,58.81
01:01:12:14:00,57.8,10.5,67,69.09,10.19,58.64
01:01:12:19:00,58.3,10.7,67,69.05,10.17,58.46
01:01:12:24:00,58.9,10.8,67,69.01,10.14,58.29
01:01:12:29:00,59.5,10.9,67,68.96,10.12,58.12
01:01:12:34:00,60,11,67,68.92,10.1,57.94
01:01:12:39:00,60.6,11.2,67,68.88,10.08,57.77
01:01:12:44:00,61.2,11.3,67,68.83,10.06,57.6
01:01:12:49:00,61.8,11.4,67,68.79,10.04,57.43
01:01:12:52:00,62.1,11.5,67,68.77,10.03,57.32
01:01:12:57:00,62.4,11.6,66.42,68.72,10.01,57.15
01:01:13:02:00,62.8,11.7,65.83,68.63,9.97,56.79
01:01:13:07:00,63.1,11.8,65.25,68.45,9.9,56.17
01:01:13:12:00,63.4,11.9,64.67,68.27,9.83,55.54
01:01:13:17:00,63.7,12,64.08,68.1,9.76,54.91
01:01:13:22:00,64.1,12.1,63.5,67.92,9.69,54.28
01:01:13:27:00,64.4,12.2,62.92,67.74,9.61,53.65
01:01:13:32:00,64.7,12.3,62.33,67.57,9.54,53.02
01:01:13:37:00,65,12.4,61.75,67.39,9.47,52.39
01:01:13:42:00,65.4,12.5,61.17,67.21,9.4,51.76
01:01:13:47:00,65.7,12.6,60.58,67.04,9.33,51.14
01:01:13:52:00,66,12.7,60,66.86,9.26,50.51
01:01:13:57:00,65.8,13.5,60.58,66.68,9.19,49.88
01:01:14:02:00,65.7,14.2,61.17,66.42,9.1,49.09
01:01:14:07:00,65.5,15,61.75,66.04,8.97,48.05
01:01:14:12:00,65.3,15.8,62.33,65.65,8.85,47.01
01:01:14:17:00,65.2,16.5,62.92,65.27,8.73,45.98
01:01:14:22:00,65,17.3,63.5,64.89,8.61,44.94
01:01:14:27:00,64.8,18.1,64.08,64.5,8.49,43.9
01:01:14:32:00,64.7,18.8,64.67,64.12,8.36,42.87
01:01:14:37:00,64.5,19.6,65.25,63.73,8.24,41.83
01:01:14:42:00,64.3,20.4,65.83,63.35,8.12,40.79
01:01:14:47:00,64.2,21.1,66.42,62.97,8,39.76
01:01:14:52:00,64,21.9,67,62.58,7.88,38.72
01:01:14:57:00,64.1,21.2,66.83,62.2,7.75,37.69
01:01:15:02:00,64.2,20.5,66.67,61.65,7.61,36.54
01:01:15:07:00,64.2,19.9,66.5,60.85,7.44,35.23
01:01:15:12:00,64.3,19.2,66.33,60.05,7.27,33.91
01:01:15:17:00,64.4,18.5,66.17,59.25,7.09,32.6
01:01:15:22:00,64.5,17.8,66,58.45,6.92,31.29
01:01:15:27:00,64.5,17.2,65.83,57.65,6.75,29.97
01:01:15:32:00,64.6,16.5,65.67,56.86,6.58,28.66
01:01:15:37:00,64.7,15.8,65.5,56.06,6.4,27.35
01:01:15:42:00,64.8,15.1,65.33,55.26,6.23,26.04
01:01:15:47:00,64.8,14.5,65.17,54.46,6.06,24.72
01:01:15:52:00,64.9,13.8,65,53.66,5.89,23.41
01:01:15:57:00,64.9,13.9,65.25,52.86,5.71,22.1
01:01:16:02:00,64.8,14,65.5,51.41,5.53,20.76
01:01:16:07:00,64.8,14.1,65.75,48.96,5.32,19.39
01:01:16:12:00,64.7,14.2,66,46.52,5.12,18.03
01:01:16:17:00,64.7,14.3,66.25,44.07,4.92,16.66
01:01:16:22:00,64.6,14.4,66.5,41.63,4.71,15.29
01:01:16:27:00,64.6,14.5,66.75,39.18,4.51,13.92
01:01:16:32:00,64.6,14.6,67,36.74,4.31,12.55
